particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0.0,0,0.0,0.0,0.0,2017,1026.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1068.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1108.0,hospdia
176625.0,0,0.0,0.0,0.0,2017,404.0,hospdia
6944.0,984073,984073.0,0.0,0.0,2017,270.0,hospdia
0.0,0,0.0,0.0,0.0,2017,676.0,hospdia
0.0,0,0.0,0.0,0.0,2017,709.0,hospdia
0.0,0,0.0,0.0,0.0,2017,754.0,hospdia
0.0,0,0.0,0.0,0.0,2017,997.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1069.0,hospdia
13853.0,983722,983722.0,0.0,0.0,2017,1118.0,hospdia
0.0,0,0.0,0.0,0.0,2017,544.0,hospdia
420.0,1914,1914.0,0.0,0.0,2017,804.0,hospdia
0.0,0,0.0,0.0,0.0,2017,104.0,hospdia
0.0,0,0.0,0.0,0.0,2017,20.0,hospdia
0.0,3346,3346.0,0.0,0.0,2017,550.0,hospdia
0.0,0,0.0,0.0,0.0,2017,112.0,hospdia
0.0,0,0.0,0.0,0.0,2017,818.0,hospdia
0.0,0,0.0,0.0,0.0,2017,882.0,hospdia
0.0,0,0.0,0.0,0.0,2017,914.0,hospdia
42667.0,296662,296662.0,0.0,0.0,2017,928.0,hospdia
0.0,0,0.0,0.0,0.0,2017,964.0,hospdia
0.0,1300,1300.0,0.0,650.0,2017,734.0,hospdia
0.0,0,0.0,0.0,0.0,2017,299.0,hospdia
0.0,0,0.0,0.0,0.0,2017,645.0,hospdia
0.0,0,0.0,0.0,0.0,2017,17.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1046.0,hospdia
0.0,0,0.0,0.0,0.0,2017,420.0,hospdia
0.0,0,0.0,0.0,0.0,2017,802.0,hospdia
0.0,0,0.0,0.0,0.0,2017,266.0,hospdia
0.0,0,0.0,0.0,0.0,2017,137.0,hospdia
0.0,0,0.0,0.0,0.0,2017,769.0,hospdia
0.0,0,0.0,0.0,0.0,2017,776.0,hospdia
0.0,0,0.0,0.0,0.0,2017,286.0,hospdia
0.0,0,0.0,0.0,0.0,2017,255.0,hospdia
0.0,0,0.0,0.0,0.0,2017,79.0,hospdia
0.0,0,0.0,0.0,0.0,2017,81.0,hospdia
0.0,0,0.0,0.0,0.0,2017,688.0,hospdia
0.0,0,0.0,0.0,0.0,2017,531.0,hospdia
0.0,0,0.0,0.0,0.0,2017,514.0,hospdia
0.0,0,0.0,0.0,0.0,2017,499.0,hospdia
0.0,0,0.0,0.0,0.0,2017,532.0,hospdia
0.0,0,0.0,0.0,0.0,2017,190.0,hospdia
0.0,0,0.0,0.0,59121.0,2017,598.0,hospdia
0.0,0,0.0,0.0,0.0,2017,211.0,hospdia
189.0,378,378.0,0.0,0.0,2017,773.0,hospdia
2340.0,15580,15580.0,0.0,0.0,2017,424.0,hospdia
0.0,79948,79948.0,0.0,0.0,2017,298.0,hospdia
0.0,0,0.0,0.0,0.0,2017,594.0,hospdia
0.0,0,0.0,0.0,0.0,2017,237.0,hospdia
0.0,0,0.0,0.0,0.0,2017,16.0,hospdia
204.0,1509,1509.0,0.0,0.0,2017,768.0,hospdia
3510.0,8580,8580.0,0.0,0.0,2017,617.0,hospdia
0.0,0,0.0,0.0,0.0,2017,297.0,hospdia
0.0,0,0.0,0.0,0.0,2017,105.0,hospdia
368633.0,16180883,16180883.0,0.0,0.0,2017,1024.0,hospdia
3000.0,0,0.0,0.0,0.0,2017,1017.0,hospdia
868002.0,17087594,17087594.0,0.0,0.0,2017,1000.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1018.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1001.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1007.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1008.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1010.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1011.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1012.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1013.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1041.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1073.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1087.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1109.0,hospdia
272230.0,3259446,3259446.0,0.0,0.0,2017,1110.0,hospdia
6938.0,253429,253429.0,0.0,0.0,2017,1112.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1120.0,hospdia
0.0,0,0.0,0.0,3371.0,2017,1126.0,hospdia
0.0,0,0.0,0.0,0.0,2017,789.0,hospdia
0.0,0,0.0,0.0,0.0,2017,326.0,hospdia
12084.0,0,0.0,0.0,0.0,2017,442.0,hospdia
0.0,0,0.0,0.0,0.0,2017,294.0,hospdia
0.0,0,0.0,0.0,0.0,2017,378.0,hospdia
100320.0,466679,456640.0,10039.0,0.0,2017,402.0,hospdia
0.0,0,0.0,0.0,0.0,2017,29.0,hospdia
0.0,0,0.0,0.0,0.0,2017,450.0,hospdia
0.0,0,0.0,0.0,0.0,2017,656.0,hospdia
715846.0,12573,12573.0,0.0,1123.0,2017,333.0,hospdia
0.0,0,0.0,0.0,0.0,2017,684.0,hospdia
0.0,0,0.0,0.0,0.0,2017,422.0,hospdia
0.0,128748,128748.0,0.0,0.0,2017,763.0,hospdia
0.0,0,0.0,0.0,0.0,2017,741.0,hospdia
0.0,0,0.0,0.0,0.0,2017,553.0,hospdia
0.0,0,0.0,0.0,0.0,2017,357.0,hospdia
0.0,0,0.0,0.0,0.0,2017,899.0,hospdia
0.0,0,0.0,0.0,0.0,2017,900.0,hospdia
82646.0,39888,39888.0,0.0,0.0,2017,932.0,hospdia
0.0,0,0.0,0.0,0.0,2017,950.0,hospdia
0.0,0,0.0,0.0,0.0,2017,966.0,hospdia
0.0,0,0.0,0.0,0.0,2017,967.0,hospdia
0.0,0,0.0,0.0,0.0,2017,982.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1014.0,hospdia
799525.0,1866328,1856849.0,9479.0,1585.0,2017,1080.0,hospdia
20000.0,827,827.0,0.0,0.0,2017,1074.0,hospdia
9666.0,8253,8253.0,0.0,195.0,2017,1084.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1113.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1137.0,hospdia
0.0,0,0.0,0.0,0.0,2017,1142.0,hospdia
0.0,0,0.0,0.0,0.0,2017,722.0,hospdia
0.0,13383,13383.0,0.0,0.0,2017,660.0,hospdia
0.0,0,0.0,0.0,0.0,2017,75.0,hospdia
