año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2019,113.0,1546483,355242,187103,0.0,187103,1092.0,639989.0,363057.0,62.0,815491,240012,575479,24849740,19068666,12245.0,5514435,254394.0,331553.0,456.0,11201.0,27554986
2019,619.0,7873199,947851,1392734,497690.0,895044,4159489.0,706469.0,666656.0,14737.0,2055311,325547,1729764,7734064,5971601,4240.0,1516632,241591.0,1326529.0,355279.0,355412.0,19714531
2019,163.0,5183271,126176,1321572,713339.0,608233,2940574.0,504021.0,290928.0,2288.0,984386,111213,873173,2641564,1973410,1667.0,607110,59377.0,189900.0,17967.0,296285.0,9315661
2019,131.0,268249,65140,79637,0.0,79637,0.0,8643.0,114829.0,24745.0,537229,0,537229,1896506,1496726,25024.0,374315,441.0,3606.0,0.0,32427.0,2762762
2019,375.0,737567,125145,151585,0.0,151585,17594.0,148764.0,294479.0,0.0,185422,51646,133776,7576966,5777542,0.0,1736952,62472.0,173352.0,16536.0,338.0,8690181
2019,1090.0,106585313,46754830,40132133,11522888.0,28609245,5477767.0,11764125.0,2456458.0,-92494.0,11299763,3179430,8120333,229229940,178035136,167539.0,48095556,2931709.0,7521356.0,159584.0,383330.0,355086792
2019,764.0,118185511,46899577,39252667,12894195.0,26358472,18048984.0,11569198.0,2415085.0,0.0,4868441,2565049,2303392,169602965,135037271,55888.0,33764166,745640.0,0.0,0.0,0.0,292656917
2019,14.0,4410350,2017667,1079480,222391.0,857089,760830.0,428814.0,123559.0,9525.0,768079,265150,502929,3462755,2072294,494145.0,884995,11321.0,714672.0,0.0,616830.0,9982211
2019,657.0,11207642,5570059,2818297,558279.0,2260018,536450.0,1991446.0,291390.0,0.0,993818,517441,476377,27790704,22869622,9126.0,4911956,0.0,523358.0,0.0,0.0,40515522
2019,362.0,8358313,1053554,2958991,1446044.0,1512947,2250694.0,1423796.0,671278.0,11750.0,2351474,193137,2158337,6361333,4746303,0.0,1593351,21679.0,415789.0,0.0,0.0,17498659
2019,989.0,10621425,5414441,2283862,718677.0,1565185,530269.0,1955663.0,437190.0,7244.0,1931766,795583,1136183,23912044,19650911,11325.0,4233404,16404.0,0.0,0.0,0.0,36472479
2019,990.0,11907789,6058215,2266660,672948.0,1593712,586222.0,2850778.0,145914.0,0.0,2045465,727635,1317830,25098904,20490522,0.0,4608382,0.0,0.0,0.0,0.0,39052158
2019,680.0,156184728,66489135,57911459,18494854.0,39416605,16945763.0,12103213.0,2735158.0,321538.0,7213442,2781981,4431461,186589239,147910030,37598972.0,1080237,0.0,0.0,0.0,43923.0,350352870
2019,411.0,22481193,4929923,3251727,278628.0,2973099,13021929.0,665220.0,612394.0,-22914.0,3202058,418048,2784010,12999294,9995897,5000.0,2970497,27900.0,968761.0,23058.0,211402.0,39862852
2019,241.0,18593951,1904965,2760202,610300.0,2149902,11384049.0,1390082.0,1154653.0,16031.0,3725113,716589,3008524,15846801,11078207,1202993.0,3339513,226088.0,2603869.0,209570.0,1653351.0,42648686
2019,558.0,34703273,17198373,8237010,719523.0,7517487,4198208.0,5008283.0,61399.0,0.0,2297381,2283613,13768,57788413,45989338,139245.0,11444946,214884.0,0.0,0.0,0.0,94789067
2019,248.0,15842718,2848831,4494870,,4494870,4955250.0,2944883.0,598884.0,-117911.0,4643528,491451,4152077,15794288,12277632,64284.0,3280249,172123.0,1463976.0,555706.0,1889375.0,40071680
2019,224.0,4944856,512205,604581,0.0,604581,3656881.0,46441.0,124748.0,-15797.0,1080251,169019,911232,3930541,2965023,8153.0,947864,9501.0,316192.0,5895.0,-54208.0,10207730
2019,591.0,83263657,39637967,23619105,3964682.0,19654423,12478603.0,6421199.0,1106783.0,14199.0,4732869,1606042,3126827,102309305,81226532,323375.0,20756667,2731.0,0.0,0.0,74075.0,190394105
2019,586.0,64865329,33653707,16019516,2133077.0,13886439,6770166.0,8029036.0,392904.0,0.0,4608910,1722366,2886544,115061561,65979264,32149822.0,16932475,0.0,0.0,0.0,0.0,184535800
2019,453.0,2193784,337711,278749,0.0,278749,0.0,1459959.0,117365.0,0.0,618363,188405,429958,14500078,11454897,0.0,3028600,16581.0,0.0,0.0,0.0,17312225
2019,145.0,108692,7109,2410,309.0,2101,0.0,0.0,99173.0,0.0,371463,164353,207110,1398808,1078146,338.0,319831,493.0,220555.0,0.0,0.0,2099518
2019,511.0,48487868,33215774,8759010,1204768.0,7554242,0.0,5891485.0,621599.0,0.0,3926933,1348287,2578646,49853822,38456026,5672.0,11392124,0.0,0.0,0.0,0.0,102268623
2019,530.0,52786780,24470509,14109845,1742786.0,12367059,6938613.0,6763075.0,504738.0,0.0,3339890,1511284,1828606,91378358,73182635,67413.0,18110332,17978.0,0.0,0.0,0.0,147505028
2019,6.0,18593951,1904965,2760202,610300.0,2149902,11384049.0,1390082.0,1154653.0,16031.0,3725113,716589,3008524,15846801,11078207,1202993.0,3339513,226088.0,2603869.0,209570.0,1653351.0,42648686
2019,161.0,706302,362723,10206,0.0,10206,115873.0,217500.0,0.0,0.0,375200,375200,0,8233554,7130000,7180.0,1096374,0.0,0.0,0.0,0.0,9315056
