particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0.0,0.0,0.0,0.0,0.0,2018,927,hospdia
,0.0,,,,2018,961,hospdia
0.0,0.0,0.0,0.0,0.0,2018,962,hospdia
0.0,0.0,0.0,0.0,0.0,2018,1079,hospdia
25970.0,104049.0,104049.0,0.0,3077.0,2018,1101,hospdia
0.0,0.0,0.0,0.0,0.0,2018,666,hospdia
0.0,0.0,0.0,0.0,0.0,2018,392,hospdia
14780.0,20112.0,20112.0,0.0,0.0,2018,790,hospdia
919.0,0.0,0.0,0.0,0.0,2018,650,hospdia
0.0,0.0,0.0,0.0,0.0,2018,876,hospdia
2239.0,0.0,0.0,0.0,1183.0,2018,944,hospdia
0.0,0.0,0.0,0.0,0.0,2018,952,hospdia
0.0,0.0,0.0,0.0,0.0,2018,182,hospdia
0.0,0.0,0.0,0.0,0.0,2018,633,hospdia
,0.0,,,,2018,685,hospdia
,0.0,,,,2018,683,hospdia
,0.0,,,,2018,945,hospdia
0.0,0.0,0.0,0.0,0.0,2018,953,hospdia
,0.0,,,,2018,1022,hospdia
,0.0,,,,2018,1049,hospdia
0.0,0.0,0.0,0.0,0.0,2018,1151,hospdia
0.0,0.0,0.0,0.0,0.0,2018,794,hospdia
0.0,0.0,0.0,0.0,0.0,2018,415,hospdia
0.0,0.0,0.0,0.0,0.0,2018,592,hospdia
0.0,0.0,0.0,0.0,0.0,2018,497,hospdia
0.0,0.0,0.0,0.0,0.0,2018,458,hospdia
0.0,0.0,0.0,0.0,0.0,2018,726,hospdia
0.0,0.0,0.0,0.0,0.0,2018,272,hospdia
0.0,0.0,0.0,0.0,0.0,2018,805,hospdia
0.0,0.0,0.0,0.0,0.0,2018,234,hospdia
0.0,0.0,0.0,0.0,0.0,2018,64,hospdia
0.0,0.0,0.0,0.0,0.0,2018,842,hospdia
0.0,0.0,0.0,0.0,0.0,2018,843,hospdia
0.0,10725.0,10725.0,0.0,0.0,2018,803,hospdia
