particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0,5709,5709,0,0,2013,990.0,hospdia
7779,5095,5095,0,0,2013,680.0,hospdia
0,122348,122348,0,0,2013,411.0,hospdia
0,0,0,0,0,2013,241.0,hospdia
0,0,0,0,0,2013,558.0,hospdia
0,0,0,0,0,2013,167.0,hospdia
0,0,0,0,0,2013,248.0,hospdia
0,0,0,0,0,2013,224.0,hospdia
8380,4460,4460,0,113,2013,591.0,hospdia
0,0,0,0,0,2013,586.0,hospdia
0,0,0,0,0,2013,453.0,hospdia
0,0,0,0,0,2013,113.0,hospdia
0,0,0,0,0,2013,619.0,hospdia
0,0,0,0,0,2013,163.0,hospdia
0,0,0,0,0,2013,131.0,hospdia
0,0,0,0,0,2013,375.0,hospdia
0,0,0,0,0,2013,1090.0,hospdia
0,0,0,0,0,2013,764.0,hospdia
0,0,0,0,0,2013,14.0,hospdia
0,0,0,0,0,2013,657.0,hospdia
0,0,0,0,0,2013,362.0,hospdia
0,0,0,0,0,2013,989.0,hospdia
0,0,0,0,0,2013,145.0,hospdia
0,0,0,0,0,2013,511.0,hospdia
0,0,0,0,0,2013,530.0,hospdia
0,0,0,0,0,2013,6.0,hospdia
0,0,0,0,0,2013,161.0,hospdia
4199,0,0,0,0,2013,623.0,hospdia
0,0,0,0,0,2013,489.0,hospdia
0,0,0,0,0,2013,875.0,hospdia
0,0,0,0,0,2013,940.0,hospdia
0,0,0,0,0,2013,946.0,hospdia
0,0,0,0,0,2013,1023.0,hospdia
0,0,0,0,0,2013,1054.0,hospdia
0,0,0,0,0,2013,1057.0,hospdia
0,0,0,0,0,2013,1031.0,hospdia
0,0,0,0,0,2013,1032.0,hospdia
0,0,0,0,0,2013,1064.0,hospdia
0,0,0,0,0,2013,226.0,hospdia
0,0,0,0,0,2013,687.0,hospdia
0,0,0,0,0,2013,745.0,hospdia
0,0,0,0,0,2013,109.0,hospdia
0,0,0,0,0,2013,808.0,hospdia
0,0,0,0,0,2013,971.0,hospdia
0,0,0,0,0,2013,128.0,hospdia
0,199,199,0,0,2013,919.0,hospdia
0,0,0,0,0,2013,725.0,hospdia
