año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2018,113,1662873,352901,163243,0.0,163243.0,1950.0,690767.0,454012,648.0,955131,320575,634556.0,23954113,18480018,165337.0,5254216,54542.0,338597.0,3858.0,-1876.0,26913344
2018,619,7668395,895916,1480583,572959.0,907624.0,3821817.0,819862.0,650217,-22054.0,1816081,310060,1506021.0,7299679,5630289,494.0,1490252,178644.0,1872747.0,46356.0,162008.0,18843212
2018,163,4243275,111485,1097245,421699.0,675546.0,2452043.0,509495.0,73007,-208.0,838229,111137,727092.0,2805307,2143954,19447.0,584906,57000.0,211535.0,45022.0,199221.0,8342381
2018,131,247521,66806,81595,0.0,81595.0,0.0,11048.0,88072,0.0,375227,88598,286629.0,1706240,1288533,43839.0,373418,450.0,1893.0,0.0,72404.0,2403285
2018,375,736362,116717,152260,0.0,152260.0,16741.0,156586.0,294058,0.0,186851,49179,137672.0,7273573,5658258,-4174.0,1584382,35107.0,185219.0,2041.0,1476.0,8385522
2018,1090,102990472,45361179,38431026,11451109.0,26979917.0,5244615.0,11466131.0,2487521,12518.0,11364912,3331030,8033882.0,216713794,169748832,90345.0,44970235,1904382.0,5340201.0,979060.0,458406.0,337859363
2018,764,113800480,44813204,36260693,12022270.0,24238423.0,21237815.0,9430641.0,2058127,0.0,5730950,2799284,2931666.0,163075081,128036671,42591.0,29027476,5968343.0,0.0,0.0,0.0,282606511
2018,14,3807782,1557346,951192,0.0,951192.0,833576.0,352219.0,113449,-5281.0,973485,236752,736733.0,2629067,2026578,23615.0,569684,9190.0,495015.0,0.0,51353.0,7951421
2018,657,10688051,5288512,2741027,547913.0,2193114.0,373488.0,2000919.0,284105,0.0,1017349,552334,465015.0,26139742,21708849,12637.0,4418256,0.0,531791.0,0.0,795.0,38377728
2018,362,8369569,940673,3435502,1509391.0,1926111.0,2231523.0,1299037.0,462834,0.0,1900845,193153,1707692.0,6242787,4855200,0.0,1387587,0.0,397842.0,784143.0,0.0,17695186
2018,989,9840230,4667672,2375072,820039.0,1555033.0,364986.0,1943545.0,488955,-14449.0,1921417,790636,1130781.0,22263169,18328644,,3934525,0.0,0.0,0.0,0.0,34010367
2018,990,12022419,5944173,2623034,750232.0,1872802.0,287256.0,2893684.0,274272,0.0,1890234,603839,1286395.0,24116879,19755360,0.0,4361519,0.0,0.0,0.0,0.0,38029532
2018,680,151079306,65086449,53847042,16601553.0,37245489.0,18475218.0,11049069.0,2621528,741309.0,7492080,2605454,4886626.0,175963833,139890214,0.0,34934652,1138967.0,0.0,0.0,92103.0,335368631
2018,411,21749394,4850794,3132316,211707.0,2920609.0,12691014.0,621819.0,453451,-64457.0,3083646,423461,2660185.0,12943004,10093576,0.0,2841690,7738.0,806856.0,175584.0,664657.0,39358684
2018,241,18583632,1764425,3221634,529003.0,2692631.0,10623290.0,1762380.0,1211903,30531.0,3859680,758127,3101553.0,14244800,10723263,81291.0,3271916,168330.0,2680324.0,66642.0,1534820.0,41000429
2018,558,36477281,14567040,6140919,1205464.0,4935455.0,6182790.0,5016585.0,4569947,0.0,1480624,1480624,0.0,55888836,44677425,149361.0,11062050,0.0,0.0,0.0,0.0,93846741
2018,167,395126,7977,28588,0.0,28588.0,343706.0,5558.0,9297,0.0,98074,29528,68546.0,319451,247391,0.0,72060,0.0,12415.0,695.0,2840.0,828601
