particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0,0,0,0,0,2012,1055.0,hospdia
0,0,0,0,0,2012,529.0,hospdia
0,0,0,0,0,2012,345.0,hospdia
0,0,0,0,0,2012,515.0,hospdia
0,0,0,0,0,2012,174.0,hospdia
7140,0,0,0,0,2012,523.0,hospdia
111059,1888362,1888362,0,0,2012,697.0,hospdia
0,0,0,0,0,2012,239.0,hospdia
0,0,0,0,0,2012,287.0,hospdia
0,0,0,0,0,2012,377.0,hospdia
0,0,0,0,0,2012,692.0,hospdia
0,0,0,0,0,2012,586.0,hospdia
0,0,0,0,0,2012,453.0,hospdia
0,0,0,0,0,2012,145.0,hospdia
558,112,112,0,0,2012,511.0,hospdia
0,0,0,0,0,2012,530.0,hospdia
0,0,0,0,0,2012,6.0,hospdia
0,0,0,0,0,2012,161.0,hospdia
0,0,0,0,0,2012,623.0,hospdia
0,0,0,0,0,2012,489.0,hospdia
0,0,0,0,0,2012,875.0,hospdia
0,0,0,0,0,2012,113.0,hospdia
25470,830379,806096,24283,240718,2012,619.0,hospdia
0,0,0,0,0,2012,163.0,hospdia
0,0,0,0,0,2012,131.0,hospdia
0,0,0,0,0,2012,375.0,hospdia
0,0,0,0,0,2012,1090.0,hospdia
0,0,0,0,0,2012,764.0,hospdia
0,0,0,0,0,2012,14.0,hospdia
0,0,0,0,0,2012,657.0,hospdia
0,0,0,0,0,2012,362.0,hospdia
0,38964,0,38964,17322,2012,989.0,hospdia
0,0,0,0,0,2012,990.0,hospdia
7873,1940,1940,0,0,2012,680.0,hospdia
0,101315,101315,0,0,2012,411.0,hospdia
0,0,0,0,0,2012,241.0,hospdia
0,0,0,0,0,2012,558.0,hospdia
0,0,0,0,0,2012,167.0,hospdia
0,0,0,0,0,2012,248.0,hospdia
109016,333763,333763,0,15746,2012,224.0,hospdia
0,0,0,0,0,2012,591.0,hospdia
0,0,0,0,0,2012,940.0,hospdia
0,0,0,0,0,2012,946.0,hospdia
0,0,0,0,0,2012,1023.0,hospdia
0,0,0,0,0,2012,1054.0,hospdia
0,0,0,0,0,2012,1057.0,hospdia
0,0,0,0,0,2012,1031.0,hospdia
0,0,0,0,0,2012,1032.0,hospdia
0,0,0,0,0,2012,1064.0,hospdia
0,0,0,0,0,2012,226.0,hospdia
0,0,0,0,0,2012,687.0,hospdia
0,0,0,0,0,2012,745.0,hospdia
0,0,0,0,0,2012,109.0,hospdia
0,0,0,0,0,2012,808.0,hospdia
0,0,0,0,0,2012,971.0,hospdia
0,0,0,0,0,2012,128.0,hospdia
0,298,298,0,0,2012,919.0,hospdia
0,0,0,0,0,2012,725.0,hospdia
0,0,0,0,0,2012,3.0,hospdia
0,0,0,0,0,2012,386.0,hospdia
