año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2011,748.0,81872903,32401566.0,34551127,6766701.0,27784426.0,1620136.0,10557477.0,2742597.0,2507236.0,15630348,3563050,12067298.0,122711338,96604023,42846.0,23842924,2221545.0,0.0,0.0,474548.0,223196373
2011,198.0,961047,199281.0,138526,0.0,138526.0,215768.0,386507.0,20965.0,4110.0,202240,47093,155147.0,1652308,1286559,0.0,359488,6261.0,162264.0,0.0,83188.0,3065157
2011,871.0,12885228,2575066.0,2466491,798092.0,1668399.0,6167390.0,1570272.0,106009.0,62418.0,2291130,544202,1746928.0,19227713,15039198,12364.0,3924111,252040.0,1148222.0,32406.0,315978.0,35963095
2011,948.0,7759000,516245.0,2316387,1240360.0,1076027.0,4093334.0,741604.0,91430.0,-30049.0,1739856,192150,1547706.0,3636355,2955690,0.0,668342,12323.0,453871.0,28016.0,102701.0,13689750
2011,1051.0,628249,108320.0,25538,0.0,25538.0,0.0,478840.0,15551.0,0.0,284926,145856,139070.0,4622086,3628227,0.0,962944,30915.0,0.0,0.0,6267.0,5541528
2011,1083.0,257234,19889.0,13966,0.0,13966.0,37030.0,168475.0,17874.0,0.0,226003,21247,204756.0,385576,316829,0.0,68747,0.0,68966.0,0.0,24844.0,962623
2011,679.0,64371307,28691316.0,19201541,4596019.0,14605522.0,2267242.0,11625912.0,2585296.0,0.0,6873146,4935415,1937731.0,122070179,99716925,0.0,22241163,112091.0,0.0,0.0,61441.0,193376073
2011,176.0,1826256,675243.0,1081541,957545.0,123996.0,0.0,0.0,69472.0,248854.0,1252245,205525,1046720.0,2746110,2071029,68051.0,562448,44582.0,397650.0,87721.0,311002.0,6869838
2011,537.0,2145534,490341.0,1319036,1073349.0,245687.0,0.0,297751.0,38406.0,118988.0,2825852,233926,2591926.0,3503442,2811049,0.0,647821,44572.0,789167.0,0.0,352560.0,9735543
2011,608.0,10405903,2530417.0,4792936,1129377.0,3663559.0,679063.0,1888164.0,515323.0,0.0,1251499,499700,751799.0,27204068,22561233,0.0,4637220,5615.0,0.0,0.0,21432.0,38882902
2011,596.0,7163836,2170806.0,2861324,896491.0,1964833.0,627594.0,887757.0,616355.0,0.0,1078660,399254,679406.0,22500160,18635205,0.0,3860788,4167.0,0.0,0.0,62911.0,30805567
2011,749.0,147580924,66229340.0,43505762,15441500.0,28064262.0,11746637.0,18299263.0,7799922.0,-919486.0,13559916,3441386,10118530.0,251625409,199058533,0.0,49305176,3261700.0,4327698.0,628079.0,2686156.0,419488696
2011,758.0,188907883,91158619.0,55641264,16305246.0,39336018.0,13474577.0,23413036.0,5220387.0,724723.0,18739805,4907124,13832681.0,301732730,239359519,86394.0,58884855,3401962.0,4405324.0,2800764.0,2195557.0,519506786
2011,724.0,163435415,68805584.0,56995195,16440211.0,40554984.0,8615462.0,23025421.0,5993753.0,5096730.0,17790959,4428357,13362602.0,233307226,184664281,0.0,45398371,3244574.0,3041734.0,0.0,0.0,422672064
2011,436.0,8735265,382538.0,667274,0.0,667274.0,6146492.0,963377.0,575584.0,188088.0,1598919,515051,1083868.0,33200218,26148258,26191.0,6535262,490507.0,755453.0,0.0,163543.0,44641486
2011,567.0,11695770,741232.0,7647418,4209692.0,3437726.0,172865.0,1852493.0,1281762.0,30032.0,2199847,959452,1240395.0,34298544,27378396,,6487200,432948.0,662538.0,6168.0,520786.0,49413685
2011,677.0,88095053,42249288.0,29635011,9805261.0,19829750.0,5600157.0,8892186.0,1718411.0,-135780.0,7500323,2066028,5434295.0,109867533,86252737,0.0,22120928,1493868.0,4138644.0,8566.0,1274191.0,210748530
2011,670.0,24169982,10841364.0,9009378,2215918.0,6793460.0,710478.0,2739065.0,869697.0,262070.0,3804870,1239694,2565176.0,52838379,41143207,,10967769,727403.0,781225.0,7168.0,5719.0,81869413
2011,588.0,7711393,1167335.0,3753074,938181.0,2814893.0,410539.0,1314020.0,1066425.0,773.0,1986352,490864,1495488.0,34474609,27334102,0.0,6821394,319113.0,648443.0,0.0,122406.0,44943976
2011,446.0,30329431,24556993.0,4257553,0.0,4257553.0,0.0,1439610.0,75275.0,230898.0,1124541,480864,643677.0,23151966,18340893,0.0,4602482,208591.0,527406.0,11234.0,413521.0,55788997
2011,753.0,179500912,88139821.0,64633858,18534521.0,46099337.0,7994948.0,11209176.0,7523109.0,350381.0,21782565,6940073,14842492.0,345236868,268541137,0.0,74777609,1918122.0,5892909.0,3234281.0,4256660.0,560254576
2011,887.0,2340195,543566.0,129484,0.0,129484.0,0.0,5854.0,1661291.0,-13310.0,2007087,912032,1095055.0,24429873,18280111,0.0,5290354,859408.0,511819.0,0.0,234295.0,29509959
2011,388.0,473617,54416.0,143819,4033.0,139786.0,0.0,94921.0,180461.0,88877.0,228278,55487,172791.0,7237630,5674321,0.0,1397687,165622.0,177727.0,0.0,2481.0,8208610
2011,585.0,2267263,485498.0,397665,34637.0,363028.0,774512.0,499947.0,109641.0,24691.0,1270973,269839,1001134.0,7830286,6145345,0.0,1564954,119987.0,403075.0,0.0,84487.0,11880775
2011,245.0,8378224,1368615.0,1482237,70122.0,1412115.0,2342918.0,2754212.0,430242.0,-11527.0,1770719,673847,1096872.0,9656037,7533910,4130.0,2085195,32802.0,1153916.0,119065.0,45444.0,21111878
2011,603.0,11962933,1318643.0,1512209,127769.0,1384440.0,6977541.0,1343275.0,811265.0,11303.0,2781985,911822,1870163.0,15225819,12026525,998.0,3054871,143425.0,1940744.0,202525.0,373031.0,32498340
2011,426.0,1259726,31955.0,54322,25477.0,28845.0,775498.0,349663.0,48288.0,0.0,575654,82197,493457.0,1935037,1521953,0.0,403960,9124.0,389400.0,0.0,336.0,4160153
2011,232.0,5594759,445836.0,976891,11754.0,965137.0,3539716.0,454114.0,178202.0,-2555.0,1790657,446584,1344073.0,5700546,4434818,13108.0,1211848,40772.0,935439.0,-90885.0,136349.0,14064310
2011,288.0,7813314,1044333.0,2079791,0.0,2079791.0,2674090.0,994218.0,1020882.0,1503993.0,1299616,623627,675989.0,8302402,5823483,20643.0,1552240,906036.0,1939959.0,0.0,410097.0,21269381
2011,246.0,5384493,559130.0,872942,950.0,871992.0,2480197.0,1150529.0,321695.0,41687.0,1205577,422562,783015.0,5095059,3849911,49586.0,1163110,32452.0,1004100.0,-5842.0,26492.0,12751566
2011,284.0,7948443,1856009.0,2019750,755830.0,1263920.0,3787508.0,85902.0,199274.0,95907.0,3031153,601551,2429602.0,7100842,5736581,2250.0,1362011,0.0,816641.0,299039.0,803117.0,20095142
2011,18.0,291857,69466.0,6049,0.0,6049.0,59445.0,122394.0,34503.0,-1852.0,131695,66124,65571.0,2263248,1778058,1912.0,466087,17191.0,243739.0,0.0,166923.0,3095610
2011,356.0,1110520,68585.0,7923,0.0,7923.0,106849.0,865550.0,61613.0,3556.0,514624,217799,296825.0,3013330,2375561,1715.0,607950,28104.0,356951.0,0.0,54949.0,5053930
2011,401.0,4307814,402750.0,371592,0.0,371592.0,160717.0,3120777.0,251978.0,34774.0,1464909,422604,1042305.0,8990067,6987077,15652.0,1966852,20486.0,1769514.0,0.0,397886.0,16964964
2011,733.0,95084036,41111572.0,35961547,10050983.0,25910564.0,7471528.0,6915100.0,3624289.0,,17756570,2583659,15172911.0,169530640,143397618,294985.0,25838037,,33351276.0,,27374006.0,343096528
2011,243.0,3628871,393786.0,675044,,675044.0,1983220.0,298241.0,278580.0,42304.0,1619005,277025,1341980.0,4678363,3662233,10090.0,991282,14758.0,279855.0,146248.0,398942.0,10793588
2011,380.0,2614589,263670.0,285390,,285390.0,241439.0,837369.0,986721.0,-19007.0,725908,153564,572344.0,6780950,4832070,15248.0,1488420,445212.0,537553.0,9812.0,558446.0,11208251
2011,716.0,8518086,1314422.0,2139049,464189.0,1674860.0,3848737.0,978713.0,237165.0,23643.0,1584980,521276,1063704.0,7585622,5952303,29388.0,1565711,38220.0,3160224.0,3403969.0,6060730.0,30337254
2011,534.0,10230438,2486664.0,2042686,0.0,2042686.0,4340206.0,1360882.0,0.0,15956.0,1757138,396256,1360882.0,8533975,6674820,49545.0,1704301,105309.0,1903448.0,547119.0,1409478.0,24397552
2011,185.0,4578644,1183916.0,1042817,886520.0,156297.0,1168040.0,418043.0,765828.0,0.0,862857,269652,593205.0,4134730,3213351,47535.0,866923,6921.0,577370.0,20899.0,760851.0,10935351
2011,258.0,10264175,2012312.0,2251091,24554.0,2226537.0,3891068.0,1231527.0,878177.0,52716.0,4328019,322073,4005946.0,8640033,6917811,6599.0,1715623,,1178203.0,467846.0,-664293.0,24266699
