particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0,0,0,0,0,2014,145.0,hospdia
114,114,114,0,0,2014,511.0,hospdia
114,0,0,0,0,2014,530.0,hospdia
0,0,0,0,0,2014,6.0,hospdia
0,0,0,0,0,2014,161.0,hospdia
10440,565,565,0,0,2014,623.0,hospdia
0,0,0,0,0,2014,489.0,hospdia
0,0,0,0,0,2014,875.0,hospdia
0,0,0,0,0,2014,940.0,hospdia
0,0,0,0,0,2014,946.0,hospdia
114,0,0,0,0,2014,1023.0,hospdia
71559,0,0,0,0,2014,1054.0,hospdia
0,0,0,0,0,2014,1057.0,hospdia
0,0,0,0,0,2014,1031.0,hospdia
0,0,0,0,0,2014,1032.0,hospdia
0,0,0,0,0,2014,1064.0,hospdia
0,0,0,0,0,2014,226.0,hospdia
0,0,0,0,0,2014,687.0,hospdia
0,0,0,0,0,2014,745.0,hospdia
112823,511675,511675,0,0,2014,109.0,hospdia
0,0,0,0,0,2014,808.0,hospdia
0,0,0,0,0,2014,971.0,hospdia
0,0,0,0,0,2014,128.0,hospdia
0,401,401,0,0,2014,919.0,hospdia
0,0,0,0,0,2014,725.0,hospdia
0,0,0,0,0,2014,3.0,hospdia
0,0,0,0,0,2014,306.0,hospdia
0,0,0,0,0,2014,15.0,hospdia
0,0,0,0,0,2014,264.0,hospdia
0,0,0,0,0,2014,867.0,hospdia
0,0,0,0,0,2014,910.0,hospdia
0,0,0,0,0,2014,1053.0,hospdia
0,0,0,0,0,2014,1055.0,hospdia
0,0,0,0,0,2014,1081.0,hospdia
0,0,0,0,0,2014,1099.0,hospdia
0,0,0,0,0,2014,529.0,hospdia
0,0,0,0,0,2014,345.0,hospdia
0,0,0,0,0,2014,515.0,hospdia
0,0,0,0,0,2014,174.0,hospdia
0,0,0,0,0,2014,523.0,hospdia
53381,2755955,2755955,0,0,2014,697.0,hospdia
0,0,0,0,0,2014,239.0,hospdia
0,0,0,0,0,2014,287.0,hospdia
0,0,0,0,0,2014,377.0,hospdia
0,0,0,0,0,2014,692.0,hospdia
0,0,0,0,0,2014,335.0,hospdia
0,0,0,0,0,2014,435.0,hospdia
0,0,0,0,0,2014,423.0,hospdia
0,0,0,0,0,2014,351.0,hospdia
0,0,0,0,0,2014,810.0,hospdia
7847,0,0,0,0,2014,830.0,hospdia
0,0,0,0,0,2014,892.0,hospdia
199806,889979,889979,0,0,2014,921.0,hospdia
0,0,0,0,0,2014,991.0,hospdia
0,0,0,0,0,2014,992.0,hospdia
0,0,0,0,0,2014,993.0,hospdia
7307,67948,67948,0,0,2014,1070.0,hospdia
0,0,0,0,0,2014,1095.0,hospdia
7485,15511,12777,2734,942,2014,1094.0,hospdia
0,0,0,0,0,2014,473.0,hospdia
272,8990,8990,0,0,2014,663.0,hospdia
0,0,0,0,0,2014,552.0,hospdia
0,0,0,0,0,2014,772.0,hospdia
0,0,0,0,0,2014,568.0,hospdia
0,0,0,0,0,2014,398.0,hospdia
0,0,0,0,0,2014,394.0,hospdia
0,0,0,0,0,2014,614.0,hospdia
0,0,0,0,0,2014,235.0,hospdia
0,0,0,0,0,2014,616.0,hospdia
0,0,0,0,0,2014,267.0,hospdia
0,0,0,0,0,2014,565.0,hospdia
103906,1109211,1109211,0,0,2014,220.0,hospdia
0,0,0,0,0,2014,278.0,hospdia
0,0,0,0,0,2014,107.0,hospdia
29817,141352,141352,0,0,2014,711.0,hospdia
0,0,0,0,0,2014,204.0,hospdia
0,0,0,0,0,2014,579.0,hospdia
79123,532753,45717,487036,48098,2014,348.0,hospdia
0,0,0,0,0,2014,766.0,hospdia
97148,0,0,0,0,2014,761.0,hospdia
0,0,0,0,0,2014,728.0,hospdia
0,1699598,1699598,0,0,2014,280.0,hospdia
0,0,0,0,0,2014,222.0,hospdia
0,0,0,0,0,2014,276.0,hospdia
0,0,0,0,0,2014,11.0,hospdia
0,0,0,0,0,2014,302.0,hospdia
2589,2655,2478,177,0,2014,682.0,hospdia
1361953,5040962,5040962,0,0,2014,279.0,hospdia
0,0,0,0,0,2014,282.0,hospdia
0,2386050,2386050,0,0,2014,281.0,hospdia
0,0,0,0,0,2014,183.0,hospdia
0,0,0,0,0,2014,610.0,hospdia
0,0,0,0,0,2014,116.0,hospdia
0,0,0,0,0,2014,115.0,hospdia
0,0,0,0,0,2014,114.0,hospdia
0,0,0,0,0,2014,119.0,hospdia
2816,10101,9293,808,13074,2014,770.0,hospdia
0,351,351,0,0,2014,583.0,hospdia
0,0,0,0,0,2014,136.0,hospdia
0,0,0,0,0,2014,113.0,hospdia
0,0,0,0,0,2014,619.0,hospdia
0,0,0,0,0,2014,163.0,hospdia
0,0,0,0,0,2014,131.0,hospdia
0,0,0,0,0,2014,375.0,hospdia
0,0,0,0,0,2014,1090.0,hospdia
0,22680,22680,0,0,2014,764.0,hospdia
0,0,0,0,0,2014,14.0,hospdia
0,0,0,0,0,2014,657.0,hospdia
0,0,0,0,0,2014,362.0,hospdia
0,0,0,0,0,2014,989.0,hospdia
0,0,0,0,0,2014,990.0,hospdia
2038,114,114,0,0,2014,680.0,hospdia
111963,1000447,1000447,0,0,2014,411.0,hospdia
0,0,0,0,0,2014,241.0,hospdia
0,0,0,0,0,2014,558.0,hospdia
0,0,0,0,0,2014,167.0,hospdia
0,0,0,0,0,2014,248.0,hospdia
0,0,0,0,0,2014,224.0,hospdia
114,4460,4460,0,0,2014,591.0,hospdia
0,0,0,0,0,2014,586.0,hospdia
0,0,0,0,0,2014,453.0,hospdia
347,156,156,0,0,2014,469.0,hospdia
0,0,0,0,0,2014,642.0,hospdia
129440,178526,178526,0,0,2014,674.0,hospdia
0,0,0,0,0,2014,193.0,hospdia
3113,1803,492,1311,0,2014,526.0,hospdia
0,0,0,0,0,2014,698.0,hospdia
0,0,0,0,0,2014,630.0,hospdia
0,0,0,0,0,2014,124.0,hospdia
0,0,0,0,0,2014,364.0,hospdia
1105,14442,14442,0,0,2014,439.0,hospdia
0,21381,21381,0,0,2014,570.0,hospdia
0,0,0,0,0,2014,123.0,hospdia
0,0,0,0,0,2014,310.0,hospdia
128180,0,0,0,0,2014,571.0,hospdia
42224,0,0,0,0,2014,296.0,hospdia
0,0,0,0,0,2014,566.0,hospdia
1496,19817,19817,0,2158,2014,784.0,hospdia
0,0,0,0,0,2014,102.0,hospdia
0,2340,2340,0,0,2014,379.0,hospdia
0,0,0,0,0,2014,639.0,hospdia
0,0,0,0,0,2014,457.0,hospdia
4230,15496,15496,0,0,2014,609.0,hospdia
0,0,0,0,0,2014,101.0,hospdia
0,0,0,0,0,2014,454.0,hospdia
0,0,0,0,0,2014,318.0,hospdia
0,0,0,0,0,2014,600.0,hospdia
28757,0,0,0,0,2014,545.0,hospdia
0,0,0,0,0,2014,100.0,hospdia
0,0,0,0,0,2014,702.0,hospdia
0,0,0,0,0,2014,778.0,hospdia
0,0,0,0,0,2014,341.0,hospdia
0,0,0,0,0,2014,99.0,hospdia
0,0,0,0,0,2014,767.0,hospdia
0,0,0,0,0,2014,359.0,hospdia
0,0,0,0,0,2014,98.0,hospdia
0,0,0,0,0,2014,132.0,hospdia
0,0,0,0,0,2014,97.0,hospdia
0,0,0,0,0,2014,103.0,hospdia
0,0,0,0,0,2014,110.0,hospdia
0,0,0,0,0,2014,94.0,hospdia
0,0,0,0,0,2014,91.0,hospdia
0,5215,5215,0,546,2014,664.0,hospdia
936,14734,14734,0,18720,2014,918.0,hospdia
0,0,0,0,0,2014,92.0,hospdia
0,0,0,0,0,2014,95.0,hospdia
0,0,0,0,0,2014,96.0,hospdia
0,0,0,0,0,2014,301.0,hospdia
0,0,0,0,0,2014,492.0,hospdia
0,126950,126950,0,0,2014,811.0,hospdia
31178,86574,86574,0,0,2014,812.0,hospdia
0,0,0,0,0,2014,832.0,hospdia
0,0,0,0,0,2014,841.0,hospdia
24874,0,0,0,0,2014,856.0,hospdia
159400,65400,65400,0,0,2014,859.0,hospdia
0,0,0,0,0,2014,861.0,hospdia
0,0,0,0,0,2014,880.0,hospdia
0,0,0,0,0,2014,883.0,hospdia
0,0,0,0,0,2014,884.0,hospdia
0,0,0,0,0,2014,877.0,hospdia
0,0,0,0,0,2014,911.0,hospdia
0,0,0,0,0,2014,913.0,hospdia
0,0,0,0,0,2014,922.0,hospdia
0,0,0,0,0,2014,923.0,hospdia
0,7641,7641,0,0,2014,924.0,hospdia
0,0,0,0,0,2014,947.0,hospdia
0,0,0,0,0,2014,951.0,hospdia
0,0,0,0,0,2014,1103.0,hospdia
0,0,0,0,0,2014,972.0,hospdia
0,0,0,0,0,2014,973.0,hospdia
0,0,0,0,0,2014,974.0,hospdia
35724,0,0,0,0,2014,975.0,hospdia
7677,0,0,0,0,2014,960.0,hospdia
0,0,0,0,0,2014,1028.0,hospdia
0,0,0,0,0,2014,976.0,hospdia
