año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2015,814.0,38856,3887,14627,0.0,14627,12934.0,7408.0,0.0,0.0,33994,33994.0,0.0,169162,80931,13990.0,74241,0.0,0.0,0.0,0,242012
2015,881.0,2295134,916949,299812,105948.0,193864,0.0,636466.0,441907.0,65984.0,372866,127184.0,245682.0,1932063,1490488,0.0,441575,0.0,211622.0,0.0,48885,4926554
2015,771.0,98654149,42184612,32399345,7906382.0,24492963,6026241.0,12278639.0,5765312.0,0.0,9232481,2991350.0,6241131.0,131430938,105890112,0.0,25540826,0.0,0.0,0.0,0,239317568
2015,533.0,1795921,244691,309966,500.0,309466,0.0,1228462.0,12802.0,-35917.0,982123,135496.0,846627.0,1397536,1063116,12855.0,299222,22343.0,189823.0,125972.0,475872,4931330
2015,447.0,4989553,1408692,2533552,749740.0,1783812,115051.0,90717.0,841541.0,14521.0,825761,476295.0,349466.0,10159038,7603852,25468.0,2516875,12843.0,115676.0,65874.0,105784,16276207
2015,815.0,467062,29664,124070,17245.0,106825,0.0,299419.0,13909.0,0.0,238501,50470.0,188031.0,433511,346876,0.0,84590,2045.0,78335.0,0.0,41221,1258630
2015,801.0,84139719,41830812,20713468,4992397.0,15721071,11082237.0,7115057.0,3398145.0,0.0,6350778,1838193.0,4512585.0,94182139,75689077,0.0,18493062,0.0,0.0,0.0,345209,185017845
2015,800.0,3850728,340790,984123,181587.0,802536,777075.0,1278103.0,470637.0,-9552.0,1184536,391086.0,793450.0,7786217,5843039,37726.0,1786102,119350.0,731586.0,135744.0,60669,13739928
2015,389.0,7068124,1751051,3520858,995740.0,2525118,202313.0,202632.0,1391270.0,9143.0,1478998,537119.0,941879.0,14353615,10670748,98452.0,3525615,58800.0,175546.0,95894.0,168749,23350069
2015,695.0,63157281,32356522,14788661,2671466.0,12117195,5442370.0,7313118.0,3256610.0,0.0,6050698,1857557.0,4193141.0,63706699,50212832,0.0,13493867,0.0,0.0,0.0,0,132914678
2015,816.0,7290727,1784568,2865478,678847.0,2186631,457918.0,378683.0,1804080.0,14268.0,1150562,328886.0,821676.0,13664240,10149776,83695.0,3383225,47544.0,275781.0,86419.0,226678,22708675
2015,833.0,8588461,2135918,3276628,709022.0,2567606,121951.0,726642.0,2327322.0,21479.0,1515840,299578.0,1216262.0,16199315,12123260,55438.0,4001626,18991.0,260119.0,77931.0,145107,26808252
2015,870.0,7510890,2897492,993892,116723.0,877169,2855829.0,648364.0,115313.0,142070.0,1752483,363167.0,1389316.0,3599321,2732966,10227.0,795727,60401.0,478113.0,179912.0,48382,13711171
2015,927.0,2406253,289238,259412,48360.0,211052,703311.0,1005236.0,149056.0,21843.0,571001,94927.0,476074.0,2275293,1788475,17000.0,454420,15398.0,326180.0,224225.0,891775,6716570
2015,961.0,86235680,39720755,16520211,1816539.0,14703672,14575422.0,12975692.0,2443600.0,0.0,2095326,1770610.0,324716.0,84242403,66745797,0.0,17496606,0.0,0.0,0.0,0,172573409
2015,962.0,1611407,65632,140063,35852.0,104211,1266050.0,105150.0,34512.0,263.0,595488,59488.0,536000.0,1369466,1067593,0.0,301873,0.0,183375.0,105717.0,334693,4200409
2015,1079.0,1558857,216247,50191,26981.0,23210,0.0,1292419.0,0.0,0.0,365283,72079.0,293204.0,1178269,908524,0.0,269745,0.0,300038.0,0.0,221783,3624230
2015,1101.0,6714681,495360,764783,37708.0,727075,4329182.0,975179.0,150177.0,-147392.0,2165038,344937.0,1820101.0,3213268,2458352,921.0,744356,9639.0,971625.0,0.0,17075,12934295
2015,666.0,83648741,31513957,27912968,5230621.0,22682347,18708592.0,4240020.0,1273204.0,34556.0,6325173,1431350.0,4893823.0,109143261,87336283,0.0,21321977,485001.0,0.0,0.0,0,199151731
2015,392.0,1781865,398340,316758,,316758,0.0,941008.0,125759.0,0.0,519839,304012.0,215827.0,9685100,7401642,0.0,2211824,71634.0,0.0,0.0,0,11986804
2015,790.0,24280464,17039942,3996808,937094.0,3059714,3243714.0,0.0,0.0,0.0,9476051,3760717.0,5715334.0,51413459,41491487,0.0,9921972,0.0,1455392.0,0.0,2322073,88947439
2015,650.0,17780227,9573810,2728695,668466.0,2060229,2929428.0,2088795.0,459499.0,0.0,1654164,699926.0,954238.0,48405978,39480410,0.0,8925261,307.0,0.0,0.0,0,67840369
2015,876.0,27993331,15100007,7915062,1188746.0,6726316,1561184.0,2834447.0,582631.0,-297004.0,3443597,1222389.0,2221208.0,48510047,39247793,0.0,9085910,176344.0,0.0,0.0,2009,79651980
