año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2010,650.0,4389264,1348901,953506,569589.0,383917.0,21629.0,1440574.0,624654.0,,1439563,589368.0,850195.0,33633654,27777400,,5833254,23000.0,,,67795.0,39530276
2010,876.0,28095475,10180479,7953845,1985734.0,5968111.0,6561121.0,2604987.0,795043.0,-21518.0,2461134,2369287.0,91847.0,48840230,39665254,283050.0,8739262,152664.0,0.0,0.0,110993.0,79486314
2010,944.0,791727,128559,460343,268741.0,191602.0,153046.0,14903.0,34876.0,156798.0,683271,176227.0,507044.0,3697281,2639780,234318.0,721440,101743.0,436032.0,3793.0,36683.0,5805585
2010,952.0,7525098,2425396,181905,,181905.0,4430818.0,,486979.0,-30338.0,1437218,429070.0,1008148.0,4657305,3557539,52912.0,1046102,752.0,1360692.0,158818.0,653011.0,15761804
2010,54.0,590173,3069,0,0.0,0.0,0.0,268998.0,318106.0,0.0,260855,237624.0,23231.0,4230091,3172908,0.0,1057183,0.0,0.0,0.0,11177.0,5092296
2010,538.0,40295548,12729280,14665485,3273706.0,11391779.0,6344961.0,5525489.0,1030333.0,0.0,4268500,1656899.0,2611601.0,77060729,62572441,0.0,12926226,1562062.0,0.0,0.0,0.0,121624777
2010,557.0,9565661,3030459,3073696,930710.0,2142986.0,1215833.0,1526156.0,719517.0,0.0,1097589,579243.0,518346.0,30381173,25553871,0.0,4713101,114201.0,0.0,0.0,0.0,41044423
2010,653.0,15496262,5340606,4400510,1156691.0,3243819.0,2645932.0,2681224.0,427990.0,113782.0,1953932,759702.0,1194230.0,46102020,38401784,0.0,7693917,6319.0,0.0,0.0,856.0,63666852
2010,647.0,10783523,3628996,3421746,1206429.0,2215317.0,1955960.0,1536952.0,239869.0,-17515.0,1027334,701693.0,325641.0,30115744,24725538,0.0,4791794,598412.0,0.0,0.0,36122.0,41945208
2010,208.0,2413069,352503,310354,31536.0,278818.0,1542802.0,144583.0,62827.0,-24403.0,988719,125331.0,863388.0,2109895,1625056,0.0,450782,34057.0,399941.0,86886.0,14553.0,5988660
2010,978.0,65413200,25032057,21733327,7268403.0,14464924.0,6158217.0,9768069.0,2721530.0,801528.0,6392771,2877287.0,3515484.0,143579865,116491876,0.0,26469504,618485.0,0.0,0.0,88934.0,216276298
2010,996.0,5147459,1750597,1259897,297072.0,962825.0,491816.0,1507283.0,137866.0,0.0,1905552,725215.0,1180337.0,22804339,18470941,0.0,3842477,490921.0,0.0,0.0,0.0,29857350
2010,729.0,136634348,54146944,47160562,15112860.0,32047702.0,13451877.0,13589974.0,8284991.0,1132107.0,13813002,4072045.0,9740957.0,231619785,187888776,3781609.0,39509000,440400.0,0.0,0.0,1134579.0,384333821
2010,182.0,5514994,2760363,1352884,0.0,1352884.0,363100.0,710310.0,328337.0,0.0,545807,210141.0,335666.0,8235055,6473561,0.0,1714779,46715.0,482857.0,53000.0,1309396.0,16141109
2010,633.0,4951276,830304,1662134,857098.0,805036.0,1145631.0,1078819.0,234388.0,-1534.0,1185254,341927.0,843327.0,8413573,6455461,214746.0,1591765,151601.0,1152861.0,26150.0,219068.0,15946648
