año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2016,113,1642448,357925,176728,0.0,176728,2871.0,661329.0,443595.0,2185.0,1025668,256138,769530,23447055,18309561,52362.0,5063608,21524.0,362959.0,424.0,28125.0,26508864
2016,619,7228911,719656,1389236,363093.0,1026143,4109550.0,259966.0,750503.0,-8293.0,1672464,393789,1278675,6985886,5393058,0.0,1484923,107905.0,1954029.0,-274281.0,466117.0,18024833
2016,163,3388947,99943,953122,351871.0,601251,1805592.0,483445.0,46845.0,0.0,998814,119065,879749,2814919,2242363,2065.0,512880,57611.0,184504.0,28946.0,16163.0,7432293
2016,131,219135,58113,78260,0.0,78260,8717.0,0.0,74045.0,2154.0,273591,74573,199018,1287291,748416,285622.0,251676,1577.0,3060.0,0.0,292816.0,2078047
2016,375,691713,143119,137634,161.0,137473,12088.0,97674.0,301198.0,0.0,250631,55486,195145,7302766,5714953,0.0,1594682,-6869.0,212929.0,-8102.0,1406.0,8451343
2016,1090,100282017,44433189,37676093,11002726.0,26673367,4246392.0,11822094.0,2104249.0,-238125.0,8300413,3005229,5295184,208734925,165185390,99719.0,42170329,1279487.0,5494242.0,-145611.0,691501.0,323119362
2016,764,98007631,39406008,34354115,11774508.0,22579607,13523798.0,9022884.0,1700826.0,0.0,5664171,3389390,2274781,150330349,120343339,33574.0,26053337,3900099.0,0.0,0.0,582220.0,254584371
2016,14,3160468,1444768,784595,659434.0,125161,514231.0,317919.0,98955.0,-72850.0,857047,219777,637270,2385635,1859198,6500.0,512750,7187.0,459034.0,0.0,86852.0,6876186
2016,657,9717687,4245139,2774475,487189.0,2287286,408317.0,1876775.0,412981.0,0.0,966803,498459,468344,24175203,19956391,32322.0,4186490,0.0,739461.0,0.0,229.0,35599383
2016,362,6634896,876312,2209054,265704.0,1943350,2182941.0,1110735.0,255854.0,-73963.0,950594,225063,725531,6310095,4936003,0.0,1358211,15881.0,363732.0,81561.0,3477.0,14270392
2016,989,8031142,3569734,1992860,627065.0,1365795,241222.0,1825116.0,402210.0,59629.0,1968408,919056,1049352,19597549,16112627,0.0,3470575,14347.0,0.0,0.0,0.0,29656728
2016,990,11618125,5086244,2745014,635427.0,2109587,566455.0,2515096.0,705316.0,70076.0,1983095,781800,1201295,21172820,17580200,0.0,3592378,242.0,0.0,0.0,0.0,34844116
