año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2017,657.0,10164881,4600177,2967297,577306.0,2389991.0,343236.0,1956032.0,298139.0,0.0,1003520,569955.0,433565.0,25272221,20916659,20373.0,4335189,0.0,629308.0,0.0,90.0,37070020
2017,362.0,7668359,932461,2830399,894461.0,1935938.0,2249309.0,1266029.0,390161.0,-14970.0,980773,209978.0,770795.0,6671247,5160465,0.0,1496895,13887.0,337853.0,1693082.0,1668.0,17338012
2017,989.0,8860680,4044832,2240453,756147.0,1484306.0,258935.0,1857700.0,458760.0,-6742.0,1831913,791614.0,1040299.0,21195828,17326654,113141.0,3738356,17677.0,0.0,0.0,0.0,31881679
2017,990.0,12030841,5619931,3027522,604296.0,2423226.0,459966.0,2663859.0,259563.0,0.0,1860831,609281.0,1251550.0,23153658,18986873,0.0,4166785,0.0,0.0,0.0,0.0,37045330
2017,680.0,141484179,61516102,49367525,15902725.0,33464800.0,17383848.0,10851985.0,2364719.0,40928.0,7697467,2487527.0,5209940.0,167346816,132828256,0.0,33346686,1171874.0,0.0,0.0,109794.0,316679184
2017,411.0,20957006,4371539,2946209,253928.0,2692281.0,12477192.0,551647.0,610419.0,31966.0,3046366,412530.0,2633836.0,12690999,10065543,41469.0,2550122,33865.0,668584.0,46912.0,426132.0,37867965
2017,241.0,16680880,1546727,3455906,3455906.0,0.0,8743255.0,1757146.0,1177846.0,-76146.0,4025680,795941.0,3229739.0,14306076,10836362,134395.0,3221613,113706.0,2546126.0,205217.0,1146500.0,38834333
2017,558.0,41921880,17995963,7497907,1624939.0,5872968.0,6103001.0,4999292.0,5325717.0,0.0,1537078,1537078.0,0.0,52228793,41738847,144002.0,10113083,232861.0,0.0,0.0,0.0,95687751
2017,167.0,998572,56665,24690,0.0,24690.0,0.0,917217.0,0.0,24690.0,164233,49513.0,114720.0,362297,282253,0.0,80044,0.0,11960.0,159425.0,,1721177
2017,248.0,14670907,2404733,4235452,0.0,4235452.0,4494907.0,3383320.0,152495.0,-46850.0,4592736,743200.0,3849536.0,14541088,11317474,71905.0,2977059,174650.0,1686530.0,421370.0,2932195.0,38797976
2017,224.0,3035783,343823,479309,93329.0,385980.0,2031684.0,33038.0,147929.0,-12936.0,1013650,148401.0,865249.0,3920416,3020354,0.0,891765,8297.0,253999.0,7530.0,49676.0,8268118
2017,591.0,72932971,34164201,19654061,3517435.0,16136626.0,11757212.0,6202429.0,1155068.0,2684.0,3777798,1362169.0,2415629.0,88798773,70528094,220126.0,18047254,3299.0,0.0,0.0,145956.0,165658182
2017,586.0,57421311,28220288,15002960,2249576.0,12753384.0,6093161.0,7690288.0,414614.0,0.0,4205229,1774829.0,2430400.0,72913352,58030541,0.0,14882811,0.0,0.0,0.0,0.0,134539892
2017,453.0,2357462,343546,339722,0.0,339722.0,0.0,1545848.0,128346.0,0.0,691233,194244.0,496989.0,13035816,10351892,0.0,2664861,19063.0,0.0,0.0,0.0,16084511
2017,145.0,66859,7026,2998,1357.0,1641.0,0.0,0.0,56835.0,0.0,153922,52644.0,101278.0,634935,490713,0.0,143201,1021.0,54416.0,27904.0,3443.0,941479
2017,511.0,45004056,26738243,12018729,2081414.0,9937315.0,0.0,5557754.0,689330.0,0.0,3469060,1325842.0,2143218.0,47771297,37466454,44230.0,10190875,69738.0,0.0,0.0,0.0,96244413
