,id,nombre
0,99000,Hospital_99000
1,68000,Hospital_68000
2,41100,Hospital_41100
3,24100,Hospital_24100
4,55800,Hospital_55800
5,16700,Hospital_16700
6,24800,Hospital_24800
7,22400,Hospital_22400
8,59100,Hospital_59100
9,58600,Hospital_58600
10,45300,Hospital_45300
11,11300,Hospital_11300
12,61900,Hospital_61900
13,16300,Hospital_16300
14,13100,Hospital_13100
15,37500,Hospital_37500
16,109000,Hospital_109000
17,76400,Hospital_76400
18,1400,Hospital_1400
19,65700,Hospital_65700
20,36200,Hospital_36200
21,98900,Hospital_98900
22,14500,Hospital_14500
23,51100,Hospital_51100
24,53000,Hospital_53000
25,600,Hospital_600
26,16100,Hospital_16100
27,62300,Hospital_62300
28,48900,Hospital_48900
29,87500,Hospital_87500
30,94000,Hospital_94000
31,94600,Hospital_94600
32,102300,Hospital_102300
33,105400,Hospital_105400
34,105700,Hospital_105700
35,103100,Hospital_103100
36,103200,Hospital_103200
37,106400,Hospital_106400
38,22600,Hospital_22600
39,68700,Hospital_68700
40,74500,Hospital_74500
41,10900,Hospital_10900
42,80800,Hospital_80800
43,97100,Hospital_97100
44,12800,Hospital_12800
45,91900,Hospital_91900
46,72500,Hospital_72500
47,300,Hospital_300
48,38600,Hospital_38600
49,30600,Hospital_30600
50,1500,Hospital_1500
51,26400,Hospital_26400
52,86700,Hospital_86700
53,91000,Hospital_91000
54,105300,Hospital_105300
55,105500,Hospital_105500
56,108100,Hospital_108100
57,109900,Hospital_109900
58,52900,Hospital_52900
59,34500,Hospital_34500
60,51500,Hospital_51500
61,17400,Hospital_17400
62,52300,Hospital_52300
63,69700,Hospital_69700
64,23900,Hospital_23900
65,28700,Hospital_28700
66,37700,Hospital_37700
67,69200,Hospital_69200
68,33500,Hospital_33500
69,43500,Hospital_43500
70,42300,Hospital_42300
71,35100,Hospital_35100
72,81000,Hospital_81000
73,83000,Hospital_83000
74,89200,Hospital_89200
75,92100,Hospital_92100
76,99100,Hospital_99100
77,99200,Hospital_99200
78,99300,Hospital_99300
79,107000,Hospital_107000
80,109500,Hospital_109500
81,109400,Hospital_109400
82,47300,Hospital_47300
83,66300,Hospital_66300
84,55200,Hospital_55200
85,77200,Hospital_77200
86,56800,Hospital_56800
87,39800,Hospital_39800
88,39400,Hospital_39400
89,61400,Hospital_61400
90,23500,Hospital_23500
91,61600,Hospital_61600
92,26700,Hospital_26700
93,56500,Hospital_56500
94,22000,Hospital_22000
95,27800,Hospital_27800
96,10700,Hospital_10700
97,14100,Hospital_14100
98,71100,Hospital_71100
99,20400,Hospital_20400
100,57900,Hospital_57900
101,34800,Hospital_34800
102,76600,Hospital_76600
103,76100,Hospital_76100
104,72800,Hospital_72800
105,28000,Hospital_28000
106,22200,Hospital_22200
107,27600,Hospital_27600
108,1100,Hospital_1100
109,30200,Hospital_30200
110,68200,Hospital_68200
111,27900,Hospital_27900
112,28200,Hospital_28200
113,28100,Hospital_28100
114,18300,Hospital_18300
115,61000,Hospital_61000
116,11600,Hospital_11600
117,11500,Hospital_11500
118,11400,Hospital_11400
119,12600,Hospital_12600
120,11900,Hospital_11900
121,77000,Hospital_77000
122,58300,Hospital_58300
123,13600,Hospital_13600
124,46900,Hospital_46900
125,64200,Hospital_64200
126,67400,Hospital_67400
127,19300,Hospital_19300
128,52600,Hospital_52600
129,69800,Hospital_69800
130,63000,Hospital_63000
131,12400,Hospital_12400
132,36400,Hospital_36400
133,60400,Hospital_60400
134,12300,Hospital_12300
135,31000,Hospital_31000
136,57100,Hospital_57100
137,29600,Hospital_29600
138,56600,Hospital_56600
